,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
0,olleros,1800.0,Palermo ,Buenos Aires,1426,True,C,calle olleros,calle olleros,['C1426CRF']
1,jose cortejarena,3383.0,La Reja,Provincia de Buenos Aires,1437,False,B,calle jose a cortejarena,calle jose a cortejarena,['C1437ISO']
2,calle 48,4175.0,Necochea,Provincia de Buenos Aires,7630,False,B,calle 48,calle 48,['B7632EII']
3,americo vespucio,5220.0,Corrientes,Corrientes,3400,True,W,calle americo vespucio,calle americo vespucio,['W3408DJN']
4,unitan,553.0,Desvio Tirol,Chaco,3505,False,H,nan,nan,['H3505XAM' 'H3505XBA' 'H3505XAV' ... 'H3521CCB' 'H3521CUA' 'H3521CUB']
5,federico garcia lorca,4837.0,Udaondo,Provincia de Buenos Aires,1715,False,B,,,['B1715FWA' 'B1715FWB' 'B1715FWC' ... 'B1715BLX' 'B1715BLY' 'B1715BLZ']
6,balcarce,354.0,Córdoba,Córdoba,5000,True,X,calle balcarce,calle balcarce,['X5000HWH' 'X5000HWH']
7,mercedes sosa,12.0,Guaymallén,Mendoza,5521,True,M,,,['M5521XAA']
8,juan domingo peron,786.0,Gerli,Provincia de Buenos Aires,1823,True,B,,,['B1823DGA' 'B1823DGB' 'B1823DGC' ... 'B1823AWD' 'B1823AWE' 'B1823AWF']
9,avenida quaranta,,Posadas,Misiones,3300,False,N,avenida luis quaranta,avenida luis quaranta,['W3300XAA' 'W3300XAB' 'W3300XAC' ... 'N3303GWL' 'N3303GWM' 'N3303GWN']
